year,month,temperature_type,value
2018,9,maxtemp,28.600000000000005
2018,10,maxtemp,28.300000000000004
2018,11,maxtemp,28.800000000000008
2018,12,maxtemp,27.930686723605906
2019,1,maxtemp,27.500000000000004
2019,2,maxtemp,27.700000000000003
2019,3,maxtemp,27.300000000000004
2019,4,maxtemp,28.000000000000004
2019,5,maxtemp,28.500000000000004
2019,6,maxtemp,29.100000000000005
2019,7,maxtemp,28.600000000000005
2019,8,maxtemp,28.62249660894711
2019,9,maxtemp,28.200000000000003
2019,10,maxtemp,28.400000000000002
2019,11,maxtemp,27.700000000000003
2019,12,maxtemp,28.000000000000004
2020,1,maxtemp,27.34498253779952
2020,2,maxtemp,27.197005636893746
2020,3,maxtemp,27.100000000000005
2020,4,maxtemp,27.74994510046557
2020,5,maxtemp,28.400000000000002
2020,6,maxtemp,29.300000000000008
2020,7,maxtemp,29.300000000000008
2020,8,maxtemp,28.700000000000003
2020,9,maxtemp,28.900000000000002
2020,10,maxtemp,28.100000000000005
2020,11,maxtemp,28.300000000000004
2020,12,maxtemp,28.000000000000004
2021,1,maxtemp,27.50466751154213
2021,2,maxtemp,27.348409574603892
2021,3,maxtemp,27.296309887347377
2021,4,maxtemp,27.26014151607452
2021,5,maxtemp,28.900000000000002
2021,6,maxtemp,29.100000000000005
2021,7,maxtemp,29.200000000000003
2021,8,maxtemp,28.900000000000002
2021,9,maxtemp,28.700000000000003
2021,10,maxtemp,28.600000000000005
2021,11,maxtemp,29.000000000000004
2021,12,maxtemp,28.200000000000003
2022,1,maxtemp,27.700000000000003
2022,2,maxtemp,27.651261917207584
2022,3,maxtemp,27.400000000000002
2022,4,maxtemp,28.100000000000005
2022,5,maxtemp,27.800000000000008
2022,6,maxtemp,29.500000000000004
2022,7,maxtemp,28.700000000000003
2022,8,maxtemp,29.300000000000008
2022,9,maxtemp,28.900000000000002
2022,10,maxtemp,28.500000000000004
2022,11,maxtemp,28.200000000000003
2022,12,maxtemp,27.500000000000004
2023,1,maxtemp,26.600000000000005
2023,2,maxtemp,27.069057413084277
2023,3,maxtemp,26.700000000000003
2023,4,maxtemp,27.000000000000004
2023,5,maxtemp,28.500000000000004
2023,6,maxtemp,29.700000000000003
2023,7,maxtemp,29.300000000000008
2023,8,maxtemp,29.400000000000002
2023,9,maxtemp,28.800000000000008
2023,10,maxtemp,28.900000000000002
2023,11,maxtemp,29.400000000000002
2023,12,maxtemp,28.300000000000004
2014,1,mintemp,21.199999999999996
2014,2,mintemp,22.000000000000004
2014,3,mintemp,20.8
2014,4,mintemp,21.8217231937839
2014,5,mintemp,22.400000000000002
2014,6,mintemp,21.6
2014,7,mintemp,21.62534582566209
2014,8,mintemp,21.099999999999998
2014,9,mintemp,21.500000000000004
2014,10,mintemp,22.1
2014,11,mintemp,22.300000000000004
2014,12,mintemp,22.200000000000003
2015,1,mintemp,22.1
2015,2,mintemp,21.664137088261676
2015,3,mintemp,21.588494233094064
2015,4,mintemp,21.700000000000003
2015,5,mintemp,22.300000000000004
2015,6,mintemp,22.600000000000005
2015,7,mintemp,22.1
2015,8,mintemp,22.000000000000004
2015,9,mintemp,21.6
2015,10,mintemp,22.499999999999996
2015,11,mintemp,21.6
2015,12,mintemp,22.700000000000003
2016,1,mintemp,22.499999999999996
2016,2,mintemp,22.799999999999997
2016,3,mintemp,21.500000000000004
2016,4,mintemp,23.2
2016,5,mintemp,23.4
2016,6,mintemp,23.2
2016,7,mintemp,22.200000000000003
2016,8,mintemp,21.199999999999996
2016,9,mintemp,21.900000000000002
2016,10,mintemp,21.800000000000004
2016,11,mintemp,21.6
2016,12,mintemp,22.1
2017,1,mintemp,22.543429445075997
2017,2,mintemp,21.700000000000003
2017,3,mintemp,22.226675803648376
2017,4,mintemp,22.1
2017,5,mintemp,22.1500825286074
2017,6,mintemp,22.296354463035293
2017,7,mintemp,22.200000000000003
2017,8,mintemp,22.491714823182114
2017,9,mintemp,22.1
2017,10,mintemp,22.1
2017,11,mintemp,22.600000000000005
2017,12,mintemp,22.199441086976947
2018,1,mintemp,21.812641370906018
2018,2,mintemp,21.199999999999996
2018,3,mintemp,22.600000000000005
2018,4,mintemp,21.4
2018,5,mintemp,22.000000000000004
2018,6,mintemp,22.400000000000002
2018,7,mintemp,21.700000000000003
2018,8,mintemp,21.099999999999998
2018,9,mintemp,20.900000000000002
2018,10,mintemp,21.4
2018,11,mintemp,21.900000000000002
2018,12,mintemp,21.4
2019,1,mintemp,22.39151961778974
2019,2,mintemp,22.499999999999996
2019,3,mintemp,21.4
2019,4,mintemp,21.500000000000004
2019,5,mintemp,21.900000000000002
2019,6,mintemp,22.000000000000004
2019,7,mintemp,21.6
2019,8,mintemp,21.099999999999998
2019,9,mintemp,21.700000000000003
2019,10,mintemp,22.300000000000004
2019,11,mintemp,22.700000000000003
2019,12,mintemp,22.499999999999996
2020,1,mintemp,21.4
2020,2,mintemp,22.799999999999997
2020,3,mintemp,22.799999999999997
2020,4,mintemp,22.000000000000004
2020,5,mintemp,22.400000000000002
2020,6,mintemp,22.799999999999997
2020,7,mintemp,22.499999999999996
2020,8,mintemp,21.4
2020,9,mintemp,21.6
2020,10,mintemp,21.4
2020,11,mintemp,22.200000000000003
2020,12,mintemp,22.143559186613
2021,1,mintemp,21.713806841128374
2021,2,mintemp,21.4
2021,3,mintemp,22.600000000000005
2021,4,mintemp,21.900000000000002
2021,5,mintemp,21.900000000000002
2021,6,mintemp,22.5287979784597
2021,7,mintemp,22.1
2021,8,mintemp,22.499999999999996
2021,9,mintemp,21.800000000000004
2021,10,mintemp,22.200000000000003
2021,11,mintemp,21.98259326481276
2021,12,mintemp,22.1
2022,1,mintemp,22.016206923327573
2022,2,mintemp,22.327908190441562
2022,3,mintemp,20.399999999999995
2022,4,mintemp,21.800000000000004
2022,5,mintemp,22.200000000000003
2022,6,mintemp,22.455333777674294
2022,7,mintemp,22.000000000000004
2022,8,mintemp,21.6
2022,9,mintemp,21.700000000000003
2022,10,mintemp,21.6
2022,11,mintemp,21.898166867121322
2022,12,mintemp,21.800000000000004
2023,1,mintemp,22.200000000000003
2023,2,mintemp,22.109270669527294
2023,3,mintemp,21.700000000000003
2023,4,mintemp,21.099999999999998
2023,5,mintemp,22.000000000000004
2023,6,mintemp,21.6
2023,7,mintemp,21.4
2023,8,mintemp,21.800000000000004
2023,9,mintemp,22.1
2023,10,mintemp,22.400000000000002
2023,11,mintemp,22.879607814660552
2023,12,mintemp,22.700000000000003
