year,month,meantemp,maxtemp,mintemp
2014,1,26.661290322580644,26.900000000000002,21.199999999999996
2014,2,26.203225806451613,26.100000000000005,22.000000000000004
2014,3,27.225,26.000000000000004,20.8
2014,4,27.7,27.600000000000005,21.8217231937839
2014,5,28.1139400921659,28.100000000000005,22.400000000000002
2014,6,28.564516129032256,29.000000000000004,21.6
2014,7,29.036666666666665,29.400000000000002,21.62534582566209
2014,8,28.73225806451613,29.100000000000005,21.099999999999998
2014,9,27.951612903225808,28.400000000000002,21.500000000000004
2014,10,28.503333333333334,28.500000000000004,22.1
2014,11,28.375806451612902,28.400000000000002,22.300000000000004
2014,12,27.558333333333334,28.800000000000008,22.200000000000003
2015,1,27.05967741935484,27.200000000000003,22.1
2015,2,26.861290322580643,26.5629438417982,21.664137088261676
2015,3,27.383870967741935,26.77802894931207,21.588494233094064
2015,4,27.919354838709676,27.300000000000004,21.700000000000003
2015,5,28.326666666666668,28.000000000000004,22.300000000000004
2015,6,28.725806451612904,29.100000000000005,22.600000000000005
2015,7,28.863333333333333,29.100000000000005,22.1
2015,8,29.03548387096774,28.800000000000008,22.000000000000004
2015,9,28.351612903225806,28.400000000000002,21.6
2015,10,28.606666666666666,28.300000000000004,22.499999999999996
2015,11,28.674193548387098,28.500000000000004,21.6
2015,12,27.766666666666666,27.600000000000005,22.700000000000003
2016,1,27.716129032258063,27.300000000000004,22.499999999999996
2016,2,27.919354838709676,27.500000000000004,22.799999999999997
2016,3,27.837931034482757,27.847383242023113,21.500000000000004
2016,4,28.56774193548387,28.000000000000004,23.2
2016,5,29.030967741935484,28.900000000000002,23.4
2016,6,29.08774193548387,29.300000000000008,23.2
2016,7,28.416666666666668,29.400000000000002,22.200000000000003
2016,8,28.31935483870968,29.300000000000008,21.199999999999996
2016,9,28.79032258064516,29.000000000000004,21.900000000000002
2016,10,28.361666666666665,28.700000000000003,21.800000000000004
2016,11,28.333870967741937,28.700000000000003,21.6
2016,12,27.883333333333333,28.22610747901856,22.1
2017,1,27.861290322580643,27.700000000000003,22.543429445075997
2017,2,27.529032258064515,28.167631043160654,21.700000000000003
2017,3,27.360714285714284,28.08468395670926,22.226675803648376
2017,4,27.703225806451613,28.01245348255308,22.1
2017,5,28.030967741935484,28.100000000000005,22.1500825286074
2017,6,28.147333333333332,29.200000000000003,22.296354463035293
2017,7,28.184666666666665,29.300000000000008,22.200000000000003
2017,8,28.222,28.68130619462096,22.491714823182114
2017,9,28.11935483870968,28.600000000000005,22.1
2017,10,27.993333333333332,28.700000000000003,22.1
2017,11,28.16774193548387,28.600000000000005,22.600000000000005
2017,12,27.613333333333333,27.4185540560666,22.199441086976947
2018,1,27.651612903225807,27.594643881106602,21.812641370906018
2018,2,26.985339861751154,27.540444694369835,21.199999999999996
2018,3,27.27857142857143,27.79194153845129,22.600000000000005
2018,4,28.025806451612905,27.72475883342089,21.4
2018,5,28.46,28.400000000000002,22.000000000000004
2018,6,28.535698924731182,29.400000000000002,22.400000000000002
2018,7,28.413333333333334,29.400000000000002,21.700000000000003
2018,8,28.44516129032258,28.500000000000004,21.099999999999998
2018,9,28.519354838709678,28.600000000000005,20.900000000000002
2018,10,27.97,28.300000000000004,21.4
2018,11,27.903225806451612,28.800000000000008,21.900000000000002
2018,12,27.293333333333333,27.930686723605906,21.4
2019,1,27.587096774193547,27.500000000000004,22.39151961778974
2019,2,27.974193548387095,27.700000000000003,22.499999999999996
2019,3,28.21785714285714,27.300000000000004,21.4
2019,4,28.62258064516129,28.000000000000004,21.500000000000004
2019,5,28.563333333333333,28.500000000000004,21.900000000000002
2019,6,29.09032258064516,29.100000000000005,22.000000000000004
2019,7,28.42,28.600000000000005,21.6
2019,8,28.74516129032258,28.62249660894711,21.099999999999998
2019,9,28.974193548387095,28.200000000000003,21.700000000000003
2019,10,28.846666666666668,28.400000000000002,22.300000000000004
