station,year,meantemp,maxtemp,mintemp
Admiralty,2014,27.68709677419355,28.300000000000004,21.700000000000003
Admiralty,2015,28.145806451612906,27.900000000000002,22.200000000000003
Admiralty,2016,28.15,28.400000000000002,21.900000000000002
Admiralty,2017,27.59834389400922,28.000000000000004,22.1
Admiralty,2018,27.656989247311827,28.400000000000002,21.500000000000004
Admiralty,2019,28.21483870967742,27.900000000000002,21.4
Admiralty,2020,27.843763440860215,28.300000000000004,21.4
Admiralty,2021,27.512857142857143,28.100000000000005,21.4
Admiralty,2022,27.53333333333333,28.100000000000005,21.6
Admiralty,2023,28.04,28.500000000000004,21.6
Ang Mo Kio,2014,27.72427419354839,28.600000000000005,21.4
Ang Mo Kio,2015,28.206021505376345,28.300000000000004,21.700000000000003
Ang Mo Kio,2016,28.3744623655914,28.600000000000005,21.199999999999996
Ang Mo Kio,2017,27.936666666666667,28.400000000000002,22.400000000000002
Ang Mo Kio,2018,27.77532258064516,28.57675603482872,21.299999999999997
Ang Mo Kio,2019,28.5205376344086,28.200000000000003,21.500000000000004
Ang Mo Kio,2020,28.125752688172042,28.500000000000004,22.000000000000004
Ang Mo Kio,2021,27.96252688172043,28.500000000000004,21.500000000000004
Ang Mo Kio,2022,27.761785714285715,28.300000000000004,22.200000000000003
Ang Mo Kio,2023,28.538602150537635,29.000000000000004,21.6
Changi,2014,28.081129032258065,28.400000000000002,21.099999999999998
Changi,2015,28.5,28.400000000000002,21.900000000000002
Changi,2016,28.370967741935484,28.400000000000002,21.6
Changi,2017,27.833655913978493,28.200000000000003,21.800000000000004
Changi,2018,27.97048387096774,28.300000000000004,21.299999999999997
Changi,2019,28.533333333333335,28.400000000000002,21.900000000000002
Changi,2020,28.034139784946237,28.600000000000005,21.900000000000002
Changi,2021,28.08295698924731,28.200000000000003,21.700000000000003
Changi,2022,27.926666666666666,28.300000000000004,22.200000000000003
Changi,2023,28.611989247311826,29.000000000000004,21.700000000000003
Choa Chu Kang (South),2014,27.90822580645161,28.200000000000003,21.500000000000004
Choa Chu Kang (South),2015,27.929032258064517,27.500000000000004,21.800000000000004
Choa Chu Kang (South),2016,28.064677419354837,27.700000000000003,22.1
Choa Chu Kang (South),2017,28.02790322580645,27.700000000000003,22.400000000000002
Choa Chu Kang (South),2018,27.623763440860216,28.000000000000004,21.199999999999996
Choa Chu Kang (South),2019,28.276309523809523,27.600000000000005,22.000000000000004
Choa Chu Kang (South),2020,27.841954022988507,28.500000000000004,21.500000000000004
Choa Chu Kang (South),2021,27.564285714285713,28.200000000000003,21.6
Choa Chu Kang (South),2022,27.543172043010753,28.000000000000004,21.900000000000002
Choa Chu Kang (South),2023,28.185591397849464,28.500000000000004,21.700000000000003
Clementi,2014,27.64682795698925,28.000000000000004,21.800000000000004
Clementi,2015,27.77698924731183,27.800000000000008,21.6
Clementi,2016,28.15753176930596,28.100000000000005,21.299999999999997
