year,yearly_rainfall
2014,24353.816595554836
2015,22940.399655905792
2016,27623.47839063654
2017,30294.127128747954
2018,28368.870676630602
2019,20857.70452441058
2020,32083.1557944261
2021,37854.78089110989
2022,35577.46682727226
2023,35044.37616704106
